"country","lat","diagnosis","study_no","url","pubMedId","registry_ID","site_name","enrolment","pub_year","drugs","pub_title","region","lon","status","authors","other_drugs","t_design","multiRegional","diagnosticMethod","hiv_co_infection","disease","otherCountries"
India (IND),26.118589,Spleen,"37",http://www.ncbi.nlm.nih.gov/pubmed/14727209,14727208,-9,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",153,2004,Amphotericin B deoxycholate,Amphotericin B treatment for Indian visceral leishmaniasis: conventional versus lipid formulations.,India Subcontinent,85.400719,Published,"Sundar S, Mehta H, Suresh AV, Singh SP, Rai M, Murray HW.",Amphotericin B deoxycholate; Liposomal Amphotericin B; Amphotericin B lipid complex,Comparative,0,Parasitological,No,vl,
India (IND),26.118589,Spleen,"37",http://www.ncbi.nlm.nih.gov/pubmed/14727209,14727208,-9,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",153,2004,Amphotericin B lipid complex (ABLC),Amphotericin B treatment for Indian visceral leishmaniasis: conventional versus lipid formulations.,India Subcontinent,85.400719,Published,"Sundar S, Mehta H, Suresh AV, Singh SP, Rai M, Murray HW.",Amphotericin B deoxycholate; Liposomal Amphotericin B; Amphotericin B lipid complex,Comparative,0,Parasitological,No,vl,
India (IND),26.118589,Spleen,"37",http://www.ncbi.nlm.nih.gov/pubmed/14727209,14727208,-9,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",153,2004,Liposomal Amphotericin B (L-AmB),Amphotericin B treatment for Indian visceral leishmaniasis: conventional versus lipid formulations.,India Subcontinent,85.400719,Published,"Sundar S, Mehta H, Suresh AV, Singh SP, Rai M, Murray HW.",Amphotericin B deoxycholate; Liposomal Amphotericin B; Amphotericin B lipid complex,Comparative,0,Parasitological,No,vl,
India (IND),25.602357,Bone,"131",http://www.ncbi.nlm.nih.gov/pubmed/20065048,20065047,-9,Nalanda Medical College,605,2010,Amphotericin B - formulation unknown,"Amphotericin B therapy in children with visceral leishmaniasis: daily vs. alternate day, a randomized trial.",India Subcontinent,85.197018,Published,"Singh UK, Prasad R, Jaiswal BP, Singh PK, Thakur CP.",Amphotericin B,Dose finding,0,Parasitological,No,vl,
Nepal (NPL),26.80877,Spleen/bone,"148",http://www.ncbi.nlm.nih.gov/pubmed/15228259,15228259,-9,"B. P. Koirala Institute of Health Sciences (BPKIHS), Dharan, Nepal",120,2003,Sodium stibogluconate,Treatment of visceral leishmaniasis in south-eastern Nepal: decreasing efficacy of sodium stibogluconate and need for a policy to limit further decline.,India Subcontinent,87.262131,Published,"Rijal S, Chappuis F, Singh R, Bovier PA, Acharya P, Karki BM, Das ML, Desjeux P, Loutan L, Koirala S.",Sodium stibogluconate,Single Group,0,Parasitological,Yes,vl,
India (IND),25.6141,Spleen,"35",http://www.ncbi.nlm.nih.gov/pubmed/10492771,10492770,-1,"Kala-azar Research Centre of Balaji Utthan Sansthan, Patna.",938,1999,Amphotericin B deoxycholate,Amphotericin B deoxycholate treatment of visceral leishmaniasis with newer modes of administration and precautions: a study of 938 cases.,India Subcontinent,85.14227,Published,"Thakur CP, Singh RK, Hassan SM, Kumar R, Narain S, Kumar A.",Amphotericin B deoxycholate,Single Group,0,Parasitological,Unspecified,vl,
India (IND),25.599832,Spleen/bone,"145",http://www.ncbi.nlm.nih.gov/pubmed/16130614,16130613,-9,"Rajendra Memorial Research Institute of Medical Sciences , Patna, Bihar",182,2005,Sodium stibogluconate,Magnitude of unresponsiveness to sodium stibogluconate in the treatment of visceral leishmaniasis in Bihar.,India Subcontinent,85.195326,Published,"Das VN, Ranjan A, Bimal S, Siddique NA, Pandey K, Kumar N, Verma N, Singh VP, Sinha PK, Bhattacharya SK.",Sodium stibogluconate,Single Group,0,Parasitological,Unspecified,vl,
India (IND),25.620021,Spleen/bone,"175",http://www.ncbi.nlm.nih.gov/pubmed/25233347,25233347, NCT00876825,Patna Medical College Hospital,500,2014,Amphotericin B lipid emulsion (ABLE),"Efficacy and safety of amphotericin B emulsion versus liposomal formulation in Indian patients with visceral leishmaniasis: a randomized, open-label study.",India Subcontinent,85.159811,Published,"Sundar S, Pandey K, Thakur CP, Jha TK, Das VN, Verma N, Lal CS, Verma D, Alam S, Das P.",Liposomal Amphotericin B,Comparative,1,Parasitological,No,vl,
India (IND),25.620021,Spleen/bone,"175",http://www.ncbi.nlm.nih.gov/pubmed/25233347,25233347, NCT00876825,Patna Medical College Hospital,500,2014,Liposomal Amphotericin B (L-AmB),"Efficacy and safety of amphotericin B emulsion versus liposomal formulation in Indian patients with visceral leishmaniasis: a randomized, open-label study.",India Subcontinent,85.159811,Published,"Sundar S, Pandey K, Thakur CP, Jha TK, Das VN, Verma N, Lal CS, Verma D, Alam S, Das P.",Liposomal Amphotericin B,Comparative,1,Parasitological,No,vl,
India (IND),25.92536,,"236",https://www.ncbi.nlm.nih.gov/pubmed/30346949,30346949,CTRI/2012/08/002891,Primary Health Clinic in Saran,1761,2018,Miltefosine,"Field safety and effectiveness of new visceral leishmaniasis treatment regimens within public health facilities in Bihar, India",India Subcontinent,84.809842,Published,"Vishal Goyal, Raman Mahajan, Krishna Pandey, Shambhu Nath Singh, Ravi Shankar Singh, Nathalie Strub-Wourgaft, Fabiana Alves, Vidya Nand Rabi Das, Roshan Kamal Topno, Bhawna Sharma, Manica Balasegaram, Caryn Bern, Allen Hightower, Suman Rijal, Sally Ellis, Temmy Sunyoto, Sakib Burza, Nines Lima, Pradeep Das, Jorge Alvar","",Non-comparative multi-arm,1,Mixed,No,vl,
India (IND),25.92536,,"236",https://www.ncbi.nlm.nih.gov/pubmed/30346949,30346949,CTRI/2012/08/002891,Primary Health Clinic in Saran,1761,2018,Liposomal Amphotericin B (L-AmB),"Field safety and effectiveness of new visceral leishmaniasis treatment regimens within public health facilities in Bihar, India",India Subcontinent,84.809842,Published,"Vishal Goyal, Raman Mahajan, Krishna Pandey, Shambhu Nath Singh, Ravi Shankar Singh, Nathalie Strub-Wourgaft, Fabiana Alves, Vidya Nand Rabi Das, Roshan Kamal Topno, Bhawna Sharma, Manica Balasegaram, Caryn Bern, Allen Hightower, Suman Rijal, Sally Ellis, Temmy Sunyoto, Sakib Burza, Nines Lima, Pradeep Das, Jorge Alvar","",Non-comparative multi-arm,1,Mixed,No,vl,
India (IND),25.92536,,"236",https://www.ncbi.nlm.nih.gov/pubmed/30346949,30346949,CTRI/2012/08/002891,Primary Health Clinic in Saran,1761,2018,Paromomycin,"Field safety and effectiveness of new visceral leishmaniasis treatment regimens within public health facilities in Bihar, India",India Subcontinent,84.809842,Published,"Vishal Goyal, Raman Mahajan, Krishna Pandey, Shambhu Nath Singh, Ravi Shankar Singh, Nathalie Strub-Wourgaft, Fabiana Alves, Vidya Nand Rabi Das, Roshan Kamal Topno, Bhawna Sharma, Manica Balasegaram, Caryn Bern, Allen Hightower, Suman Rijal, Sally Ellis, Temmy Sunyoto, Sakib Burza, Nines Lima, Pradeep Das, Jorge Alvar","",Non-comparative multi-arm,1,Mixed,No,vl,
India (IND),25.620021,Spleen,"43",https://www.ncbi.nlm.nih.gov/pubmed/1659240,1659239,-1,Patna Medical College Hospital,312,1991,Sodium stibogluconate,Comparison of regimes of treatment of antimony-resistant kala-azar patients: a randomized study.,India Subcontinent,85.159811,Published,"Thakur CP, Kumar M, Pandey AK.",Sodium stibogluconate; Pentamidine,Dose finding,1,Parasitological,Unspecified,vl,
India (IND),25.620021,Spleen,"43",https://www.ncbi.nlm.nih.gov/pubmed/1659240,1659239,-1,Patna Medical College Hospital,312,1991,Pentamidine isethionate,Comparison of regimes of treatment of antimony-resistant kala-azar patients: a randomized study.,India Subcontinent,85.159811,Published,"Thakur CP, Kumar M, Pandey AK.",Sodium stibogluconate; Pentamidine,Dose finding,1,Parasitological,Unspecified,vl,
India (IND),26.128258,,"190",,,CTRI/2009/091/000058,"Kala-Azar Research Centre, Brahmpura, Muzaffarpur,Bihar,India",,,Liposomal Amphotericin B (L-AmB),"A Prospective, Multicentric, Randomized, Two Arm, Open Label Phase III Study To Assess Efficacy And Safety Of Infusion Of Amphomul (Amphotericin B Emulsion) As Compared To AmBisome In Patients Of Visceral Leishmaniasis (Kala Azar)",India Subcontinent,85.368128,Completed,T. K. Jha,Liposomal Amphotericin B,Comparative,1,Mixed,Unspecified,vl,
India (IND),26.118589,Spleen,"95",http://www.ncbi.nlm.nih.gov/pubmed/10897370,10897369,-9,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",70,2000,Amphotericin B lipid emulsion (ABLE),"Short-course, cost-effective treatment with amphotericin B-fat emulsion cures visceral leishmaniasis.",India Subcontinent,85.400719,Published,"Sundar S, Gupta LB, Rastogi V, Agrawal G, Murray HW.",Amphotericin B deoxycholate,Single Group,0,Parasitological,No,vl,
Uganda (UGA),1.954237,Spleen/bone/lymph,"101",http://www.ncbi.nlm.nih.gov/pubmed/22724030,22724030,NCT00255568,"Amudat Hospital, Uganda",972,2012,Sodium stibogluconate,Sodium stibogluconate (SSG) & paromomycin combination compared to SSG for visceral leishmaniasis in East Africa: a randomised controlled trial.,Eastern Africa,34.945197,Published,"Musa A, Khalil E, Hailu A, Olobo J, Balasegaram M, Omollo R, Edwards T, Rashid J, Mbui J, Musa B, Abuzaid AA, Ahmed O, Fadlalla A, El-Hassan A, Mueller M, Mucee G, Njoroge S, Manduku V, Mutuma G, Apadet L, Lodenyo H, Mutea D, et al.",Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,Yes,vl,"Ethiopia, Sudan, Kenya"
Uganda (UGA),1.954237,Spleen/bone/lymph,"101",http://www.ncbi.nlm.nih.gov/pubmed/22724030,22724030,NCT00255568,"Amudat Hospital, Uganda",972,2012,Paromomycin,Sodium stibogluconate (SSG) & paromomycin combination compared to SSG for visceral leishmaniasis in East Africa: a randomised controlled trial.,Eastern Africa,34.945197,Published,"Musa A, Khalil E, Hailu A, Olobo J, Balasegaram M, Omollo R, Edwards T, Rashid J, Mbui J, Musa B, Abuzaid AA, Ahmed O, Fadlalla A, El-Hassan A, Mueller M, Mucee G, Njoroge S, Manduku V, Mutuma G, Apadet L, Lodenyo H, Mutea D, et al.",Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,Yes,vl,"Ethiopia, Sudan, Kenya"
Sudan (SDN),15.500654,,"266",https://pubmed.ncbi.nlm.nih.gov/33781913/,33781913,NCT02894008,Sudan - site unknown,24,2021,ChAd63-KH Vaccine,Safety and immunogenicity of ChAd63-KH vaccine in post-kala-azar dermal leishmaniasis patients in Sudan.,Eastern Africa,32.559898,Published,"ounis BM, Osman M, Khalil EAG, Santoro F, Furini S, Wiggins R, Keding A, Carraro M, Musa AEA, Abdarahaman MAA, Mandefield L, Bland M, Aebischer T, Gabe R, Layton AM, Lacey CJN, Kaye PM, Musa AM. ","",Non-randomised multi-arm,0,Mixed,No,pkdl,
Brazil (BRA),-12.993413,Spleen/bone,"126",http://www.ncbi.nlm.nih.gov/pubmed/9615495,9615494,-9,"Hospital Universitario Professor Edgard Santos, Brazil",87,1998,Liposomal Amphotericin B (L-AmB),Efficacy and safety of liposomal amphotericin B (AmBisome) for visceral leishmaniasis in endemic developing countries.,South America,-38.522392,Published,"Berman JD, Badaro R, Thakur CP, Wasunna KM, Behbehani K, Davidson R, Kuzoe F, Pang L, Weerasuriya K, Bryceson AD.",Liposomal Amphotericin B,Dose finding,1,Parasitological,Unspecified,vl,"India, Kenya"
Bangladesh (BGD),24.46026,Spleen/bone,"197",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5466346/,28558064, NCT01122773,"Gafargaon Hospital, Gafargaon,Mymensingh, Bangladesh",602,2017,Miltefosine,"Safety and efficacy of short course combination regimens with AmBisome, miltefosine and paromomycin for the treatment of visceral leishmaniasis (VL) in Bangladesh",India Subcontinent,90.547066,Published,"Rahman R, Goyal V, Haque R, Jamil K, Faiz A, Samad R, Ellis S, Balasegaram M, Boer MD, Rijal S, Strub-Wourgaft N, Alves F, Alvar J, Sharma B.",Miltefosine; Paromomycin; Liposomal Amphotericin B,Comparative,1,Mixed,No,vl,
Bangladesh (BGD),24.46026,Spleen/bone,"197",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5466346/,28558064, NCT01122773,"Gafargaon Hospital, Gafargaon,Mymensingh, Bangladesh",602,2017,Liposomal Amphotericin B (L-AmB),"Safety and efficacy of short course combination regimens with AmBisome, miltefosine and paromomycin for the treatment of visceral leishmaniasis (VL) in Bangladesh",India Subcontinent,90.547066,Published,"Rahman R, Goyal V, Haque R, Jamil K, Faiz A, Samad R, Ellis S, Balasegaram M, Boer MD, Rijal S, Strub-Wourgaft N, Alves F, Alvar J, Sharma B.",Miltefosine; Paromomycin; Liposomal Amphotericin B,Comparative,1,Mixed,No,vl,
Bangladesh (BGD),24.46026,Spleen/bone,"197",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5466346/,28558064, NCT01122773,"Gafargaon Hospital, Gafargaon,Mymensingh, Bangladesh",602,2017,Paromomycin,"Safety and efficacy of short course combination regimens with AmBisome, miltefosine and paromomycin for the treatment of visceral leishmaniasis (VL) in Bangladesh",India Subcontinent,90.547066,Published,"Rahman R, Goyal V, Haque R, Jamil K, Faiz A, Samad R, Ellis S, Balasegaram M, Boer MD, Rijal S, Strub-Wourgaft N, Alves F, Alvar J, Sharma B.",Miltefosine; Paromomycin; Liposomal Amphotericin B,Comparative,1,Mixed,No,vl,
India (IND),25.599832,,"240",,,CTRI/2017/03/007993,"Rajendra Memorial Research Institute of Medical Sciences , Patna, Bihar",47,,Liposomal Amphotericin B (L-AmB),A comparative study to monitor the safety of Amphotericin 50mg per vial A and Ambisome (amphotericin b) 50 mg per vial B in 48 patients,India Subcontinent,85.195326,Unknown,Kirki Patel,"",Comparative,1,Unspecified,Yes,vl,
India (IND),19.001527,Spleen/bone,"51",http://www.ncbi.nlm.nih.gov/pubmed/10492770,10492769,-9,"King Edward Memorial Hospital , Mumbai",63,1999,Liposomal Amphotericin B (L-AmB),Dose-ranging studies on liposomal amphotericin B (L-AMP-LRC-1) in the treatment of visceral leishmaniasis.,India Subcontinent,72.839677,Published,"Bodhe PV, Kotwani RN, Kirodian BG, Pathare AV, Pandey AK, Thakur CP, Kshirsagar NA.",Liposomal Amphotericin B,Dose finding,1,Parasitological,Unspecified,vl,
France (FRA),37.513805,Bone,"21",http://www.ncbi.nlm.nih.gov/pubmed/8708370,8708370,-9,Istituto Malattie Infettive Universita Degli Studi Di Catania,10,1996,Liposomal Amphotericin B (L-AmB),Visceral leishmaniasis in HIV infected patients: treatment with high dose liposomal amphotericin B (AmBisome).,Mediterranean,15.07061,Published,"Russo R, Nigro LC, Minniti S, Montineri A, Gradoni L, Caldeira L, Davidson RN.",Amphotericin B,Single Group,1,Parasitological,Yes,vl,"Portugal, Tunisia, France"
India (IND),25.599832,Spleen/bone/serological,"83",http://www.ncbi.nlm.nih.gov/pubmed/22174723,22174723,NCT00604956,"Rajendra Memorial Research Institute of Medical Sciences , Patna, Bihar",494,2011,Paromomycin,Phase 4 pharmacovigilance trial of paromomycin injection for the treatment of visceral leishmaniasis in India.,India Subcontinent,85.195326,Published,"Sinha PK, Jha TK, Thakur CP, Nath D, Mukherjee S, Aditya AK, Sundar S.",Paromomycin,Single Group,0,Mixed,No,vl,
Kenya (KEN),-1.313005,Spleen,"80",http://www.ncbi.nlm.nih.gov/pubmed/7888531,7888530,-9,Kenya Medical Research institute,16,1994,Sitamaquine,Phase 2 efficacy trial of an oral 8-aminoquinoline (WR6026) for treatment of visceral leishmaniasis.,Eastern Africa,36.803282,Published,"Sherwood JA, Gachihi GS, Muigai RK, Skillman DR, Mugo M, Rashid JR, Wasunna KM, Were JB, Kasili SK, Mbugua JM, et al.",Sitamaquine,Dose finding,0,Parasitological,No,vl,
India (IND),25.274455,Spleen,"15",http://www.ncbi.nlm.nih.gov/pubmed/10707104,10707104,-9,"Institutes of Medical Sciences, Banaras Hindu University, Varanasi, India.",45,1999,Miltefosine,Oral treatment of visceral leishmaniasis with miltefosine.,India Subcontinent,82.997337,Published,"Sundar S, Gupta LB, Makharia MK, Singh MK, Voss A, Rosenkaimer F, Engel J, Murray HW.",Miltefosine,Dose finding,0,Parasitological,No,vl,
India (IND),25.620021,Spleen,"49",http://www.ncbi.nlm.nih.gov/pubmed/9797830,9797829,-9,Patna Medical College Hospital,80,1998,Sodium stibogluconate,"Do the diminishing efficacy and increasing toxicity of sodium stibogluconate in the treatment of visceral leishmaniasis in Bihar, India, justify its continued use as a first-line drug? An observational study of 80 cases.",India Subcontinent,85.159811,Published,"Thakur CP, Sinha GP, Pandey AK, Kumar N, Kumar P, Hassan SM, Narain S, Roy RK.",Sodium stibogluconate,Single Group,1,Parasitological,No,vl,
India (IND),25.620021,Spleen/bone,"157",http://www.ncbi.nlm.nih.gov/pubmed/6087516,6087515,-9,Patna Medical College Hospital,750,1984,Sodium stibogluconate,"Epidemiological, clinical and therapeutic features of Bihar kala-azar (including post kala-azar dermal leishmaniasis).",India Subcontinent,85.159811,Published,Thakur CP.,Sodium stibogluconate; Pentamidine,Comparative,0,Parasitological,Unspecified,vl,
India (IND),25.620021,Spleen/bone,"157",http://www.ncbi.nlm.nih.gov/pubmed/6087516,6087515,-9,Patna Medical College Hospital,750,1984,Pentamidine,"Epidemiological, clinical and therapeutic features of Bihar kala-azar (including post kala-azar dermal leishmaniasis).",India Subcontinent,85.159811,Published,Thakur CP.,Sodium stibogluconate; Pentamidine,Comparative,0,Parasitological,Unspecified,vl,
India (IND),25.599832,Spleen/bone,"150",http://www.ncbi.nlm.nih.gov/pubmed/11584935,11584934,-9,"Rajendra Memorial Research Institute of Medical Sciences , Patna, Bihar",158,2001,Allopurinol,A randomized clinical trial of low dosage combination of pentamidine and allopurinol in the treatment of antimony unresponsive cases of visceral leishmaniasis.,India Subcontinent,85.195326,Published,"Das VN, Ranjan A, Sinha AN, Verma N, Lal CS, Gupta AK, Siddiqui NA, Kar SK.",Allopurinol; Pentamidine,Comparative,0,Parasitological,Unspecified,vl,
India (IND),25.599832,Spleen/bone,"150",http://www.ncbi.nlm.nih.gov/pubmed/11584935,11584934,-9,"Rajendra Memorial Research Institute of Medical Sciences , Patna, Bihar",158,2001,Pentamidine,A randomized clinical trial of low dosage combination of pentamidine and allopurinol in the treatment of antimony unresponsive cases of visceral leishmaniasis.,India Subcontinent,85.195326,Published,"Das VN, Ranjan A, Sinha AN, Verma N, Lal CS, Gupta AK, Siddiqui NA, Kar SK.",Allopurinol; Pentamidine,Comparative,0,Parasitological,Unspecified,vl,
India (IND),26.128258,Unknown,"153",http://www.ncbi.nlm.nih.gov/pubmed/9081959,9081958,-9,"Kala-Azar Research Centre, Brahmpura, Muzaffarpur,Bihar,India",128,1995,levamisole,Combination therapy in Kala-azar.,India Subcontinent,85.368128,Published,"Singh NK, Jha TK, Singh IJ, Jha S.",Ketoconazole; Sodium stibogluconate; Allopurinol; Levamisole,Comparative,0,Unspecified,Unspecified,vl,
India (IND),26.128258,Unknown,"153",http://www.ncbi.nlm.nih.gov/pubmed/9081959,9081958,-9,"Kala-Azar Research Centre, Brahmpura, Muzaffarpur,Bihar,India",128,1995,Sodium stibogluconate,Combination therapy in Kala-azar.,India Subcontinent,85.368128,Published,"Singh NK, Jha TK, Singh IJ, Jha S.",Ketoconazole; Sodium stibogluconate; Allopurinol; Levamisole,Comparative,0,Unspecified,Unspecified,vl,
India (IND),26.128258,Unknown,"153",http://www.ncbi.nlm.nih.gov/pubmed/9081959,9081958,-9,"Kala-Azar Research Centre, Brahmpura, Muzaffarpur,Bihar,India",128,1995,Ketoconazole,Combination therapy in Kala-azar.,India Subcontinent,85.368128,Published,"Singh NK, Jha TK, Singh IJ, Jha S.",Ketoconazole; Sodium stibogluconate; Allopurinol; Levamisole,Comparative,0,Unspecified,Unspecified,vl,
India (IND),26.128258,Unknown,"153",http://www.ncbi.nlm.nih.gov/pubmed/9081959,9081958,-9,"Kala-Azar Research Centre, Brahmpura, Muzaffarpur,Bihar,India",128,1995,Allopurinol,Combination therapy in Kala-azar.,India Subcontinent,85.368128,Published,"Singh NK, Jha TK, Singh IJ, Jha S.",Ketoconazole; Sodium stibogluconate; Allopurinol; Levamisole,Comparative,0,Unspecified,Unspecified,vl,
India (IND),26.118589,Spleen/bone,"208",,,NCT01437020,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",0,,Liposomal Amphotericin B (L-AmB),SCH708980 With and Without AmBisome for Visceral Leishmaniasis,India Subcontinent,85.400719,Withdrawn,"Shyam Sundar, David Sacks",Liposomal Amphotericin B,Dose finding,0,Parasitological,Unspecified,vl,
United States of America (USA),38.998104,Unspecified,"246",https://clinicaltrials.gov/ct2/show/study/NCT00662012,,NCT00662012,Walter Reed Army Medical Center,414,,Sodium stibogluconate,Sodium Stibogluconate Treatment of Leishmaniasis,North America,-77.094372,Not Published,Glenn Wortman,"",Single Group,0,Mixed,Unspecified,vl,
India (IND),26.118589,Spleen,"117",http://www.ncbi.nlm.nih.gov/pubmed/7611562,7611561,-9,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",34,1995,Amphotericin B - formulation unknown,"Use of amphotericin B in drug-resistant cases of visceral leishmaniasis in north Bihar, India.",India Subcontinent,85.400719,Published,"Jha TK, Giri YN, Singh TK, Jha S.",Amphotericin B,Single Group,0,Parasitological,Unspecified,vl,
Bangladesh (BGD),24.742748,Serological,"172",http://www.ncbi.nlm.nih.gov/pubmed/26496649,26496649,NCT01328458,"Mymensingh District, Bangladesh",120,2015,Paromomycin,Effectiveness Study of Paromomycin IM Injection (PMIM) for the Treatment of Visceral Leishmaniasis (VL) in Bangladesh.,India Subcontinent,90.408589,Published,"Jamil KM, Haque R, Rahman R, Faiz MA, Bhuiyan AT, Kumar A, Hassan SM, Kelly H, Dhalaria P, Kochhar S, Desjeux P, Bhuiyan MA, Khan MM, Ghosh RS.",Paromomycin,Single Group,0,Serological,No,vl,
India (IND),25.620021,Spleen,"48",http://www.ncbi.nlm.nih.gov/pubmed/7867140,7867139,-1,Patna Medical College Hospital,80,1994,Amphotericin B deoxycholate,Daily versus alternate-day regimen of amphotericin B in the treatment of kala-azar: a randomized comparison.,India Subcontinent,85.159811,Published,"Thakur CP, Sinha GP, Pandey AK, Barat D, Singh RK.",Amphotericin B,Dose finding,0,Parasitological,Unspecified,vl,
